Review,Star
"This is my 1st ever Echo 🥺 I'm amazed by its capabilities, however I still do not feel any necessities of it.""The more you want to be dependent, you become dependent""It's really an impulsive purchase 😀. But still you should experience echo devices at least once. Just to experience the technology. In many things it is useful, like asking questions, weather, alarm, news etc.Now its pros:1. Love ❤️ the design.2. Has a good weight.3. Sturdy built.4. Good bass for such a 1.6"" driver.5. Highs with just 0.8"" tweeter is adding unbelievable clarity to the sound.6.  Can easily pair to the Alexa app.7. Priced moderately.8. You can make connections to smart plug and smart bulbs easily.9. Can play apple music if u hv subscription.10. Auto pairing after light cuts.11. Excellent sound quality for its wize 👍12. 5 feet power adaptor cable13. Has Line out 3.5mm for connecting external speakers or ht.Cons:1. Need a continuous power.2. Need a continuous wifi connection.Colors: black, white and blue. Black one gives you more contrast against its bottom lighting ring. Black doesn't get dirty easily. Gives a distinct look.That's about it friends! Ask me if you have any questions.",4.4
"Excellent product, super quality. It capable to play audible audio books and it reads kindle e books also, I am wandering about reading capable of reading kindle books. I am enjoying.",5
"So it is my first Echo Dot.It definitely looks good. I like its spherical shape as compared to Ice hockey shape of last gen.Setting up hardly takes a minute.Sound quality is nothing impressive.Loudness is good enough but bass response is too low. Even lower than my 5watt JBL speaker which is definitely a let down. However bass can be increased but make sure with bass you also increase mids n high a bit so that the bass doesn't overpower the vocals n instruments.It is quite responsive in taking commands but at times it does not respond even if I shout and that too when the speaker is the same room as I am. It appears that it goes on sleep mode when not in use for quite a while. Not a deal breaker but it can be a nuisance clicking the mute or voice recognition button just to ""wake"" it up.Overall I am fine the product. As a new user, I do not mind it however I feel like bigger echo will definitely be the best if money is not an issue.But yes for an entry level smart speaker it is amazing n definitely worth the price.",2
I was expecting more as it's 4th gen... But disappointed as nothing new as all things r same as 3rd gen..Even AUX IN Not supported. Light ring also not much visible at lower level.. Lots of design fault one can experience when use... Buttons also feels like cheap Bluetooth speakers.Audio quality seems same as 3rd gen.. I was expecting better sound quality as size increased.. At least more Bass can added... Very disappointed😞.. AUX IN is much needed n expected. I m keeing it as got in deal price..,5
Love the new revamped version of Alexa.  All you need to do is configure the devices via Alexa app and your good to go.Sound is definitely better than 3rd gen echo dot.Bass is better than previous gen(Increase bass to full via Alexa app to enjoy).Easy to connect other smart home appliances.Pro-Good sound quality and bass.Mic sound reception is goodCon-Feels little bulkyNot so portable as it needs continues powersupply.,5
The sound quality is not that good. Especially the bass quality is very low. In the discription of the product it was mentioned that the bass quality has been improved compaired to older generations but it is not true. Paid more money for nothing.,5
"Love the new revamped version of Alexa. Connected all my smart devices like Bulb, TV, Playstation etc. Everything is working seamlessly. All you need to do is configure the devices via Alexa app and your good to go.Sound is slightly better than previous version but if your coming from 3rd Gen you won't notice that much. For more deeper and rich experience i would say go for higher model and also at this point since it is a very new devices i can see sometimes the device didn't respond but i believe that will be fixed with software updates.",5
"Prebooked it, haven't received it yet whereas other's who have booked after launch received one airway. I see now there are many other frustrated customers who have left similar comments. I was expecting by Friday, but now delivery date says Monday.Regarding the product itself, you can also read/watch other reviews - this is basically a redesign of 3rd gen echo dot, looks better (in my opinion) and sounds slightly clearer. If you want better sound go for the larger echo or invest in a good Bluetooth speaker and use this only for Alexa capabilities. The Alexa app couldn't detect the Wipro smart bulb (that's sold as a combo) in the first attempt, it takes a to couple of steps if you know what you are doing.",4
"It has sleep mode or listening problem.Sometimes it doesn't listen even if you kerp shouting its name. Maybe it enters sleep mode or something. It's a problem with get 4 only i believe as the old echo in my other room listen my voice when i am shouting in fron of this one. I believe an update might resolve it but i have chosen to return. When it stops responding, press its button and it starts responding fine, maybe that button press brings it out of sleep, but that shouldn't be the caee, the word Alexa should be able to bring it iut of sleep.Otherwise, sound is ok, looks are good, looks durable, can control smart lights. Aux out is good, you can attach to other bluetooth speakers, in that case the sound will come from that soeaker, i connected it to Marshall. It came already attached to my account, so no installation hastle, but uts easy to manage from your alexa app in mobile phone.It's a good thing to have st home, other than the sleep issue many of us are facing wirh this gen.Read somewhere that enabling Spotify can disable that power save sleep mode, if successful, then its s good buy.Sound is ok for one room, its clear with dome ok beat and treble, you can change equilizer settings in app or by voice command also.And when it's not in sleep power save mode, the mic is good even in loud musice the mic is responsive when not in power save sleep mode.",2
"This review is going to be different. As most of you by now would know it is a great device and so forth. However, I had to return the device due to its software glitch. It becomes unresponsive. Most of you might not experience this. Here is why. Most of the people will be happy with its decent speaker output and these group of people are not going to face this issue. But,  for the folks who would look for extra base and sound quality are going to suffer because they are going to connect this with external bluetooth speaker. :)This is my second Echo Dot 4th Gen and it still has the issue. So after spending sometime with the second device I finally found the cause and the solution. It happens when I pair with external bluetooth speaker. It becomes unresponsive while it is disconnected from bluetooth speaker. To make it work you have to switch to the paired bluetooth speaker or press the mute button and unmute again from the deviceNow you might be thinking why do we have to do all that, it might work by simply unpairing the device. I am sorry it doesn't work even if you unpair/delete the device.Currently the only solution is to 'factory reset' (by pressing and holding the action button for 25 sec) and do a fresh setup. PLEASE DO NOT PAIR WITH ANY BLUETOOTH speaker. I used this without pairing with BT speaker for two days and it works great without any issues.I am going to return this device.I hope Echo team knows this issue and they fix it by releasing a software update.",5
