id,title,location,experience,skills,company,salary,description,posted_date,type,url
280918001664,Data Science,Mumbai,2-4 yrs,"Algorithms, Machine Learning, Python, Java, Data Science, R, Spark, SCALA...",Netcore Solutions Pvt Ltd,"    2,00,000 - 7,00,000 P.A.  ",At least 2 year of experience in data engineering or machine learning roles;Prior experience of ...,1 day ago,hotjob,https://www.naukri.com/job-listings-Data-Science-Netcore-Solutions-Pvt-Ltd-Mumbai-2-to-4-years-280918001664?src=jobsearchDesk&sid=15382132558488&xp=1&px=1
280818003404,Analyst / Sr. Analyst (data Science),Gurgaon,5-8 yrs,"predictive modeling, predictive analytics, machine learning, data science...",Cvent India Pvt. Ltd.,"    5,00,000 - 10,00,000 P.A.  ",Strong experience on providing predictive modelling solutions to clients;Good understanding of ...,Today,hotjob,https://www.naukri.com/job-listings-Analyst-Sr-Analyst-data-Science-Cvent-India-Pvt-Ltd-Gurgaon-5-to-8-years-280818003404?src=jobsearchDesk&sid=15382132558488&xp=2&px=1
280918008755,ETL Lead & Data Science,"Chennai, Bengaluru, Mumbai, Pune, Noida",7-10 yrs,"SQL, Data Analysis, Text Mining, SAS, R, Statistical Modeling...",COMPUTER POWER GROUP PRIVATE LIMITED,"    10,00,000 - 15,00,000 P.A.  ",Industry experience in building and operationalizing various machine and deep learning models in finance/ ...,1 day ago,hotjob,https://www.naukri.com/job-listings-ETL-Lead-Data-Science-COMPUTER-POWER-GROUP-PRIVATE-LIMITED-Chennai-Bengaluru-Mumbai-Pune-Noida-7-to-10-years-280918008755?src=jobsearchDesk&sid=15382132558488&xp=3&px=1
270918901342,Specialist - Data Science,"Delhi NCR, Bengaluru, Gurgaon",7-12 yrs,"Specialist - Data Science, Data Science, data science programming, R...",Brainsearch Consulting Pvt Ltd.Â ,  Not disclosed ,"- Experience with one or more data science programming language, such as R, Python, SAS, etc ...",1 day ago,premium,https://www.naukri.com/job-listings-Specialist-Data-Science-Brainsearch-Consulting-Pvt-Ltd-Delhi-NCR-Bengaluru-Gurgaon-7-to-12-years-270918901342?src=jobsearchDesk&sid=15382132558488&xp=4&px=1
260918002450,Group Manager - Data Science - Python/nlp,Bengaluru,6-11 yrs,"machine learning, text mining, r, nlp, data science, python...",Staffio HR,  Not disclosed ,"- This is a Team management role  - Skill set - Python with Machine learning, NLP, Text Mining, ...",1 day ago,premium,https://www.naukri.com/job-listings-Group-Manager-Data-Science-Python-nlp-Staffio-HR-Bengaluru-6-to-11-years-260918002450?src=jobsearchDesk&sid=15382132558488&xp=5&px=1
270918000257,"Data Analyst / Data Science - Excel,sql,sas,python, R - Analytics Team","Delhi NCR, Gurgaon, Noida",0-5 yrs,"data analyst, reporting analyst, sas, statistics, sas programmer...",SLA Consultants India,"    2,00,000 - 4,25,000 P.A.  ",,2 days ago,prefjob,https://www.naukri.com/job-listings-Data-Analyst-Data-Science-Excel-sql-sas-python-R-Analytics-Team-SLA-Consultants-India-Delhi-NCR-Gurgaon-Noida-0-to-5-years-270918000257?src=jobsearchDesk&sid=15382132558488&xp=6&px=1
270918002661,Trainee Data Science,"Mumbai, Bengaluru, Pune",0-1 yrs,"data science, Information Technology",MNC,"    4,00,000 - 8,00,000 P.A.  ",,2 days ago,classified,https://www.naukri.com/job-listings-Trainee-Data-Science-MNC-Mumbai-Bengaluru-Pune-0-to-1-years-270918002661?src=jobsearchDesk&sid=15382132558488&xp=7&px=1
260918001552,Solution Architect - Data Science,Mumbai,4-9 yrs,"Deep Learning, Python, NLP, Data Science, Computer Vision...",Quantiphi Analytics Solutions Pvt. Ltd.,  Not disclosed ,- The experience of working in a category defining high growth startup in the transformational AI domain ...,3 days ago,premium,https://www.naukri.com/job-listings-Solution-Architect-Data-Science-Quantiphi-Analytics-Solutions-Pvt-Ltd-Mumbai-4-to-9-years-260918001552?src=jobsearchDesk&sid=15382132558488&xp=8&px=1
250918900817,Director - Data Science,Anywhere inindia,10-15 yrs,"Data Science, statistical modeling, predictive modelling, machine learning,...",Rinalytics Advisors,  Not disclosed ,Masters or PhD with experience in the area of data science specializing in a relevant field such as ...,3 days ago,premium,https://www.naukri.com/job-listings-Director-Data-Science-Rinalytics-Advisors-Anywhere-inindia-10-to-15-years-250918900817?src=jobsearchDesk&sid=15382132558488&xp=9&px=1
250918900279,Data Science Engineer - Machine Learning,Chennai,5-10 yrs,"Hadoop, Hive, Data Science, Spark, Machine Learning, R, Python, Big Data...",Resource Weaver,  Not disclosed ,- Experience with machine learning algorithms and data mining techniques;- Experience with statistical ...,3 days ago,premium,https://www.naukri.com/job-listings-Data-Science-Engineer-Machine-Learning-Resource-Weaver-Chennai-5-to-10-years-250918900279?src=jobsearchDesk&sid=15382132558488&xp=10&px=1
