Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Wind Direction,Wind Speed,Fill Flag
2018,1,1,0,0,0,0,0,4,1.7,3.3,1013,88.94,106.19,1.8,345,2.8,0
2018,1,1,0,30,0,0,0,2,1.7,3.1,1013,90.2,112.32,1.8,347,2.8,0
2018,1,1,1,0,0,0,0,0,1.1,2.9,1013,88.22,118.54,1.7,349,2.9,0
2018,1,1,1,30,0,0,0,2,1.1,2.7,1013,89.48,124.83,1.7,351,2.9,0
2018,1,1,2,0,0,0,0,2,0.7,2.5,1013,87.75,131.16,1.6,353,2.8,0
2018,1,1,2,30,0,0,0,2,0.7,2.4,1013,88.38,137.52,1.6,354,2.7,0
2018,1,1,3,0,0,0,0,0,0.2,2.3,1013,85.96,143.89,1.5,356,2.6,0
2018,1,1,3,30,0,0,0,2,0.2,2.3,1013,85.96,150.21,1.5,354,2.7,0
2018,1,1,4,0,0,0,0,0,-0.4,2.2,1013,82.93,156.43,1.4,353,2.9,0
2018,1,1,4,30,0,0,0,4,-0.4,2.1,1013,83.52,162.38,1.4,353,3,0
2018,1,1,5,0,0,0,0,0,-1.4,2,1013,78.34,167.66,1.3,352,3.1,0
2018,1,1,5,30,0,0,0,4,-1.4,1.8,1014,79.55,170.93,1.3,351,3.3,0
2018,1,1,6,0,0,0,0,4,-2.9,1.5,1014,72.73,169.98,1.2,349,3.5,0
2018,1,1,6,30,0,0,0,0,-2.9,1.1,1014,74.85,165.62,1.2,348,3.7,0
2018,1,1,7,0,0,0,0,0,-4.7,0.7,1014,67.24,159.98,1.1,348,3.9,0
2018,1,1,7,30,0,0,0,0,-4.7,0.2,1015,69.78,153.89,1.1,348,4,0
2018,1,1,8,0,0,0,0,0,-6.4,-0.2,1015,62.92,147.62,1,348,4.1,0
2018,1,1,8,30,0,0,0,0,-6.4,-0.6,1015,64.77,141.27,1,350,4.1,0
2018,1,1,9,0,0,0,0,0,-7.2,-1,1015,62.81,134.9,0.9,352,4.1,0
2018,1,1,9,30,0,0,0,4,-7.2,-1.3,1015,64.21,128.55,0.9,354,4,0
