Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Wind Direction,Wind Speed,Fill Flag
2018,10,1,0,0,0,0,0,7,22.4,25.2,1011,84.51,99.01,5.2,69,1.4,57
2018,10,1,0,30,0,0,0,7,22.4,25,1011,85.51,105.37,5.3,69,1.6,100
2018,10,1,1,0,0,0,0,7,22.5,24.7,1011,87.44,111.68,5.3,69,1.8,100
2018,10,1,1,30,0,0,0,7,22.5,24.5,1012,88.57,117.9,5.3,70,2,100
2018,10,1,2,0,0,0,0,7,22.6,24.2,1012,90.71,123.99,5.3,71,2.2,100
2018,10,1,2,30,0,0,0,7,22.6,24,1012,91.8,129.86,5.2,72,2.3,100
2018,10,1,3,0,0,0,0,7,22.5,23.7,1012,93.14,135.43,5.2,73,2.4,100
2018,10,1,3,30,0,0,0,7,22.5,23.5,1012,94.27,140.54,5.2,74,2.5,100
2018,10,1,4,0,0,0,0,7,22.2,23.3,1012,93.64,145,5.1,75,2.5,100
2018,10,1,4,30,0,0,0,7,22.2,23.1,1012,94.78,148.5,5.1,77,2.6,100
2018,10,1,5,0,0,0,0,7,21.7,22.9,1012,92.93,150.7,5,78,2.6,100
2018,10,1,5,30,0,0,0,7,21.7,22.7,1012,94.06,151.29,5,79,2.6,100
2018,10,1,6,0,0,0,0,7,21.2,22.4,1012,93.1,150.17,5,79,2.6,100
2018,10,1,6,30,0,0,0,7,21.2,22.2,1012,94.23,147.53,4.9,78,2.6,100
2018,10,1,7,0,0,0,0,7,20.9,22,1012,93.33,143.69,4.9,76,2.5,100
2018,10,1,7,30,0,0,0,7,20.9,21.8,1012,94.47,139,4.8,74,2.5,100
2018,10,1,8,0,0,0,0,0,20.6,21.6,1012,94.01,133.72,4.8,71,2.4,100
2018,10,1,8,30,0,0,0,0,20.6,21.4,1012,95.17,128.05,4.8,69,2.3,100
2018,10,1,9,0,0,0,0,0,20.4,21.2,1012,94.98,122.1,4.7,67,2.3,100
2018,10,1,9,30,0,0,0,0,20.4,21.1,1012,95.56,115.97,4.7,64,2.2,100
2018,10,1,10,0,0,0,0,0,20.2,20.9,1012,95.55,109.73,4.6,62,2.2,100
2018,10,1,10,30,0,0,0,0,20.2,20.8,1012,96.14,103.4,4.6,60,2.2,100
2018,10,1,11,0,0,0,0,0,20,20.7,1012,95.6,97.04,4.5,57,2.3,100
